iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
1;109.397;109.397;36.2858;36.2858;1;170.185;63.6008;70.1396;44.0888;65.7305;51.7748;39.6025;75.5557;53.1968;3.90219;7.92297;19.0036
2;16.3319;16.3319;67.7175;67.7175;1;172.714;35.4715;99.0554;31.9449;54.5571;31.7592;11.9832;57.7659;49.2242;7.50106;1.53411;12.607
3;109.258;16.3319;38.3796;38.3796;1;82.3556;90.6258;115.154;55.2401;33.1207;43.6939;10.252;9.01283;3.53061;10.5879;12.2624;16.495
4;100.786;16.3319;20.2929;20.2929;1;142.77;158.513;100.116;75.9492;49.9953;64.6339;72.4738;79.4268;71.6812;4.44897;15.0137;4.42324
5;101.613;16.3319;22.6476;22.6476;1;150.894;118.536;158.6;67.2028;57.2896;36.031;70.2116;8.55385;15.6031;16.3272;15.8499;7.29496
6;132.519;16.3319;22.6776;22.6776;1;37.8131;130.411;84.8844;76.6569;63.6042;60.6106;38.4519;6.71446;51.7777;15.514;1.17205;0.615024
7;113.96;16.3319;24.967;24.967;1;53.8537;124.767;61.8506;30.3356;64.5904;77.4965;22.8437;29.1175;71.6168;11.3772;10.6399;7.30184
8;107.683;16.3319;26.313;26.313;1;79.4476;106.802;74.5689;60.2984;57.202;64.3026;4.98435;61.3597;66.1064;19.8036;2.82887;10.6524
9;120.144;16.3319;24.6664;24.6664;1;87.0692;184.004;66.4234;46.5605;68.5121;49.0036;46.4072;19.5979;21.5999;10.2968;19.7545;8.40689
10;127.119;16.3319;23.8643;23.8643;1;187.37;89.4546;183.284;56.4775;70.3062;36.1633;19.6188;72.3336;19.8099;1.92538;18.9392;14.5622
11;98.5446;16.3319;22.1244;22.1244;1;149.057;175.991;154.831;58.6972;49.7716;67.6046;61.7698;14.3393;4.4415;2.87561;18.6298;12.6394
12;111.41;16.3319;33.169;33.169;1;78.3309;80.4868;174.134;53.6011;39.2481;72.6532;15.451;72.3588;72.7849;9.47464;5.81347;9.3293
13;102.066;16.3319;27.9692;27.9692;1;92.6202;57.1942;127.168;33.8833;68.7135;42.4385;53.3746;30.3414;56.5606;10.3205;4.25495;2.14643
14;95.275;16.3319;21.0043;21.0043;1;63.7725;127.633;53.1791;79.1292;34.6084;74.0747;54.3587;74.9967;44.0903;18.2724;14.7088;18.1861
15;98.9563;16.3319;23.2005;23.2005;1;124.773;155.414;96.5263;61.4515;53.0757;69.1447;21.3803;14.9971;19.057;6.60995;14.4179;9.84723
16;117.556;16.3319;22.6733;22.6733;1;155.803;143.159;180.461;53.9579;66.5006;79.1898;10.431;61.4771;69.3653;1.06856;6.63891;17.4676
17;112.483;16.3319;44.3842;44.3843;1;86.5656;65.9202;154.848;40.0784;49.3776;58.7833;71.8155;2.22613;40.5694;10.6918;1.41324;17.2867
18;100.012;16.3319;26.9978;26.9978;1;131.18;197.672;130.252;52.7842;46.4631;53.1851;10.1398;65.5336;51.2224;3.23668;19.8201;3.5007
19;115.919;16.3319;40.9359;40.9359;1;142.865;116.736;146.482;47.6194;38.4938;58.3313;45.9037;72.19;78.6716;6.8201;12.4677;8.45706
20;112.72;16.3319;21.2603;21.2603;1;195.616;113.241;88.0012;74.5268;36.3998;53.708;30.6989;79.0208;59.1802;2.20737;7.99864;11.4579
21;100;16.3319;349.096;349.096;1;116.781;180.382;112.509;40.9324;46.9552;38.2319;55.4367;5.33473;57.4946;4.65252;16.6217;18.3542
22;139.333;16.3319;105.564;105.564;1;89.2549;131.311;104.846;32.9356;47.8203;47.954;19.2952;7.69039;34.0667;7.61284;11.6208;4.68508
23;110.13;16.3319;23.0982;23.0982;1;119.984;132.41;84.8163;64.348;65.7249;37.5303;11.4258;67.4693;39.2428;14.6714;18.079;10.5249
24;102.917;16.3319;29.9382;29.9382;1;166.465;105.228;127.19;50.9707;48.0081;46.3309;44.6099;63.2981;71.0472;14.8093;2.13507;13.2974
25;98.9736;16.3319;27.9089;27.9089;1;125.221;34.4064;144.306;36.3068;76.0642;45.7108;76.8724;10.2201;54.2278;17.6252;3.64605;3.81824
26;98.5362;16.3319;26.0654;26.0654;1;187.16;114.425;98.0789;46.1312;63.1997;39.6832;78.2947;67.4577;6.4366;7.92912;0.482803;17.553
27;96.7908;16.3319;20.4717;20.4717;1;73.6644;178.749;133.827;49.48;72.0583;79.6325;20.0479;19.9668;28.9691;10.7982;19.1167;12.8805
28;121.723;16.3319;29.2682;29.2682;1;97.1844;156.277;79.6288;40.3461;54.7063;58.3097;79.9475;15.442;77.6277;6.21519;3.97248;5.71864
29;99.0567;16.3319;24.491;24.491;1;77.1125;43.8435;74.576;68.793;36.7712;44.1672;69.2967;59.4284;23.0432;19.6696;9.17906;19.4103
30;106.238;16.3319;54.2998;54.2999;1;111.018;56.0406;140.422;42.9217;51.0636;52.9256;66.3521;50.7922;66.726;6.2371;17.2824;8.32517
31;121.428;16.3319;28.1516;28.1516;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
32;119.228;16.3319;28.6983;28.6983;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
33;111.03;16.3319;28.4209;28.421;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
34;107.407;16.3319;27.2535;27.2535;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
35;104.256;16.3319;27.9161;27.9161;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
36;122.769;16.3319;29.1152;29.1152;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
37;102.319;16.3319;28.4044;28.4044;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
38;99.0279;16.3319;26.7378;26.7378;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
39;99.5474;16.3319;26.6283;26.6283;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
40;120.807;16.3319;29.0416;29.0416;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
41;99.8998;16.3319;25.9352;25.9352;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
42;122.933;16.3319;28.352;28.352;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
43;109.705;16.3319;26.2969;26.2969;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
44;104.686;16.3319;29.1353;29.1353;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
45;121.99;16.3319;28.3939;28.394;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
46;118.461;16.3319;29.2794;29.2794;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
47;105.888;16.3319;28.689;28.689;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
48;104.162;16.3319;29.7098;29.7098;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
49;123.007;16.3319;28.6668;28.6668;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
50;117.988;16.3319;30.5408;30.5408;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
51;98.2943;16.3319;28.8041;28.8041;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
52;122.913;16.3319;27.9813;27.9813;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
53;100.12;16.3319;25.9137;25.9137;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
54;110.531;16.3319;28.4352;28.4352;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
55;117.133;16.3319;29.4851;29.4852;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
56;99.5187;16.3319;27.586;27.586;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
57;121.182;16.3319;28.6058;28.6058;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
58;119.901;16.3319;28.6198;28.6198;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
59;101.254;16.3319;26.8685;26.8685;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
60;108.749;16.3319;28.1412;28.1412;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
61;97.8899;16.3319;26.4302;26.4302;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
62;122.958;16.3319;28.7938;28.7938;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
63;104.886;16.3319;28.3537;28.3537;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
64;100.925;16.3319;28.152;28.152;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
65;123.034;16.3319;28.6178;28.6178;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
66;123.009;16.3319;28.6687;28.6687;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
67;97.6912;16.3319;25.7173;25.7173;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
68;100.048;16.3319;26.8661;26.8661;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
69;115.795;16.3319;27.6476;27.6476;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
70;99.351;16.3319;27.2523;27.2523;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
71;110.59;16.3319;29.1157;29.1157;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
72;122.958;16.3319;29.0165;29.0165;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
73;123.034;16.3319;29.2636;29.2636;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
74;117.025;16.3319;29.7939;29.7939;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
