iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
1;164.984;164.984;30.4037;30.4037;1;139.753;157.782;63.8506;71.9737;76.5714;61.9656;56.3333;44.278;62.1291;16.0161;16.2951;0.779249
2;101.185;101.185;29.8713;29.8714;1;157.812;36.1171;76.9019;39.495;59.5779;79.7802;35.6398;64.1967;35.6392;11.1857;6.52854;19.6054
3;109.182;101.185;23.5859;23.5859;1;104.456;177.329;186.93;77.3112;47.2057;33.1755;37.5294;52.6862;43.6205;2.95271;16.2578;19.4964
4;102.819;101.185;30.7549;30.7549;1;196.286;52.5497;128.864;56.1216;52.6358;31.4359;27.0312;7.70066;42.1911;15.4001;8.95032;13.1151
5;103.319;101.185;50.0868;50.0868;1;98.6248;116.443;94.8487;31.2416;55.6606;33.5459;52.3655;22.2346;46.3062;8.97083;14.8537;5.60799
6;112.319;101.185;34.6177;34.6177;1;73.0656;30.6115;51.9985;45.7929;66.9807;73.2096;13.5375;5.96412;45.3263;10.3801;10.1091;11.8141
7;118.367;101.185;36.5434;36.5435;1;80.2821;85.708;116.209;60.9564;46.9074;42.6419;20.174;24.4501;39.1561;15.195;19.1044;1.7411
8;106.833;101.185;29.0954;29.0954;1;149.878;193.062;124.11;32.7519;64.6894;55.6094;60.059;35.95;65.3853;10.0373;18.5554;11.6494
9;97.165;97.165;53.4449;53.4449;1;70.3228;64.6737;172.81;47.5461;51.9442;54.7104;25.9392;27.775;61.8273;3.17861;4.21123;3.41386
10;107.102;97.165;26.1028;26.1029;1;138.992;199.932;52.465;67.107;48.3632;32.2446;30.6365;78.1931;27.4901;10.2402;13.9132;18.9898
11;123.951;97.165;29.1448;29.1448;1;62.02;179.057;61.9287;54.0816;69.4381;53.5987;35.9266;47.1618;60.0521;8.80959;5.48017;7.53967
12;114.104;97.165;24.1982;24.1982;1;96.6931;64.637;64.037;79.4756;54.836;72.6504;62.0168;42.5065;9.6816;17.8762;19.8953;13.4287
13;104.826;97.165;31.7681;31.7681;1;45.7692;56.1945;190.362;48.2886;47.951;74.1536;25.9547;37.4267;41.319;3.38558;2.80283;2.97208
14;105.131;97.165;30.745;30.745;1;81.3276;197.698;34.5749;63.9932;41.5415;76.5274;54.795;44.7486;14.4052;15.2969;13.4226;19.1898
15;13.5701;13.5701;74.9172;74.9172;1;102.171;166.764;88.0734;47.665;47.0367;34.6867;44.0324;6.74757;66.2797;9.67571;2.23312;8.14801
16;7.22693;7.22693;71.5032;71.5032;1;156.716;101.918;36.4216;37.3475;49.9053;40.3549;33.4452;66.219;55.2303;4.54544;4.88393;1.86648
17;111.798;7.22693;37.2345;37.2345;1;30.1137;141.063;58.5916;45.8373;59.7807;73.8402;68.1357;37.1977;24.184;9.29061;3.8116;2.16209
18;97.5163;7.22693;40.2358;40.2358;1;68.3544;109.815;160.743;52.2158;59.2014;32.3558;32.5063;39.4175;13.659;9.56352;7.99398;13.716
19;99.8615;7.22693;28.2099;28.2099;1;109.775;99.5094;41.836;66.1407;45.943;66.9355;26.9275;30.1464;35.167;15.0372;0.749807;9.68665
20;96.8262;7.22693;74.7229;74.7229;1;87.3338;50.5731;32.7803;33.4237;55.7568;52.3806;70.2275;4.16661;57.2566;5.3438;5.69415;15.7282
21;96.0778;7.22693;55.3012;55.3012;1;91.4314;198.934;59.2712;49.2299;48.1236;41.57;38.8789;22.9076;64.4635;5.58648;14.673;11.8137
22;104.775;7.22693;27.0464;27.0465;1;148.82;187.533;192.195;63.9373;47.4573;75.3044;10.567;74.2216;75.546;3.22923;3.70793;8.05254
23;101.443;7.22693;32.1549;32.1549;1;72.4539;161.583;38.6123;37.0796;62.6513;45.5053;26.1637;40.2193;74.4946;5.35648;10.3193;6.24183
24;101.324;7.22693;40.8124;40.8124;1;83.8651;44.6262;70.5486;58.0935;42.633;54.9009;37.5478;39.7655;40.0202;0.773439;5.16748;14.9251
25;131.215;7.22693;33.2302;33.2302;1;67.662;152.051;107.528;59.9048;53.365;72.2657;69.0541;48.7076;60.1573;16.4443;3.94971;11.6858
26;113.249;7.22693;23.9456;23.9457;1;176.192;75.0585;176.624;73.7745;74.3882;37.1226;14.2758;43.0819;30.7803;9.75167;7.118;8.56946
27;106.289;7.22693;28.9215;28.9215;1;38.8581;136.164;150.934;67.5086;61.6612;54.1308;65.6191;75.3128;28.0658;6.82136;14.6058;7.31347
